"Name","Frequency"
"WALKER",20
"YOUSUF",20
"AMARI",19
"ANSON",19
"DANIYAL",19
"DAVIS",19
"DEACON",19
"EMILIO",19
"JOHNNY",19
"JOSH",19
"KELLAN",19
"KENDRICK",19
"LEANDRO",19
"LEWIS",19
"LUC",19
"MALAKAI",19
"MEMPHIS",19
"MIKAEL",19
"MILLER",19
"NATHANAEL",19
"NIKOLA",19
"NOEL",19
"SOLOMON",19
"CHANCE",18
"CONNER",18
"DIEGO",18
"EESA",18
"FLETCHER",18
"GRAYDON",18
"JAYSON",18
"KURTIS",18
"LANCE",18
"MATHIS",18
"PAXTON",18
"PIERCE",18
"QUINTIN",18
"REMY",18
"ROY",18
"WALTER",18
"YASEEN",18
"YOUSSEF",18
"AARIZ",17
"ALEXIS",17
"AMMAR",17
"ARIAN",17
"BRETT",17
"CALLEN",17
"CONOR",17
"COREY",17
"DARIO",17
"FATEH",17
"HENRI",17
"JAD",17
"KHALIL",17
"KNOX",17
"KRISTIAN",17
"LOÏC",17
"LONDON",17
"LUIS",17
"MARIO",17
"MOSES",17
"NATE",17
"ROSS",17
"ROYCE",17
"RYLAND",17
"TRENTON",17
"TREY",17
"WADE",17
"WARREN",17
"ANISH",16
"ARHAM",16
"CHRIS",16
"DAKOTA",16
"DANE",16
"DOMINICK",16
"FINNEGAN",16
"GIUSEPPE",16
"HASHIM",16
"HUSSAIN",16
"JERRY",16
"JOHAN",16
"JOVAN",16
"KEAGAN",16
"KOEN",16
"MARC",16
"MAREK",16
"NICKOLAS",16
"ORION",16
"ROWEN",16
"SAMI",16
"SAMSON",16
"TITUS",16
"TOMMY",16
"WILLEM",16
"WILSON",16
"ZAYAN",16
"ALEKSANDER",15
"ANTON",15
"ARIE",15
"AVI",15
"BRODIE",15
"CAELAN",15
"CALUM",15
"CEDRIC",15
"CORY",15
"DAVIN",15
"DILLON",15
"DRAKE",15
"FINLAY",15
"GARY",15
"HARRIS",15
"ISAAK",15
"JOAQUIN",15
"KAEDEN",15
"KAEL",15
"KARIM",15
"KOBE",15
"LAWSON",15
"LINDEN",15
"LUCIANO",15
"MIKHAIL",15
"QASIM",15
"RAY",15
"ROLAND",15
"SAMEER",15
"SYLAS",15
"ZACK",15
"ZAID",15
"AAYAN",14
"AFFAN",14
"AJAY",14
"ANAS",14
"ASHWIN",14
"AZAAN",14
"BRAYDON",14
"BRYCEN",14
"CAMPBELL",14
"DENVER",14
"DIMITRI",14
"DION",14
"DOUGLAS",14
"ENZO",14
"FARHAN",14
"FINNLEY",14
"GIBSON",14
"GURSHAN",14
"ISMAIL",14
"KARL",14
"LEIF",14
"MALEK",14
"MANRAJ",14
"MATTHIAS",14
"PAOLO",14
"PORTER",14
"RAYAAN",14
"SEAMUS",14
"SHAYAN",14
"TENZIN",14
"TERRANCE",14
"TERRENCE",14
"TOMAS",14
"VEER",14
"ABBAS",13
"ABRAM",13
"ACE",13
"ARJAN",13
"ARON",13
"BRUNO",13
"CHACE",13
"COLLIN",13
"DARSH",13
"DERRICK",13
"DHRUV",13
"DONOVAN",13
"EASON",13
"FAISAL",13
"FLYNN",13
"HENDRIK",13
"IDRIS",13
"ILYAS",13
"ISRAEL",13
"ISSAC",13
"JAKUB",13
"JAXXON",13
"JEROME",13
"JUAN",13
"JUSTICE",13
"KODY",13
"NIKHIL",13
"ORLANDO",13
"QUINTEN",13
"RAYDEN",13
"REHAN",13
"RIAN",13
"THÉO",13
"TRYSTAN",13
"YAZAN",13
"YOUSIF",13
"ZAKARIA",13
"ADRIEL",12
"ALISTAIR",12
"AMEER",12
"ANGEL",12
"BRANDEN",12
"CARL",12
"CARMELO",12
"CIAN",12
"CIARAN",12
"DARIAN",12
"DARWIN",12
"DEV",12
"DEVEN",12
"DONALD",12
"DORIAN",12
"HARIS",12
"HARLEY",12
"HARVEY",12
"HENRIK",12
"IBRAHEEM",12
"ISSA",12
"JAMAL",12
"JAN",12
"KADE",12
"KAMERON",12
"KEON",12
"KYE",12
"KYRIE",12
"LANE",12
"LAYNE",12
"MACKENZIE",12
"MAHMOUD",12
"NIGEL",12
"NIKOLAI",12
"REUBEN",12
"RICKY",12
"ROGER",12
"RYERSON",12
"SAHIL",12
"SALMAN",12
"SANTINO",12
"SHAAN",12
"SIDNEY",12
"SIMEON",12
"SKYLAR",12
"STERLING",12
"USMAN",12
"ZACHARIAH",12
"ADITYA",11
"ADNAN",11
"AIKAM",11
"ALDEN",11
"AUSTEN",11
"BROOKS",11
"BRYDEN",11
"BYRON",11
"CÉDRIC",11
"CORNELIUS",11
"CULLEN",11
"DARCY",11
"DAX",11
"DOMENICO",11
"DUKE",11
"EMMITT",11
"FABIAN",11
"FRANCISCO",11
"GRAYDEN",11
"GRAYSEN",11
"GURMAN",11
"GURSHAAN",11
"HANK",11
"HAROON",11
"HEATH",11
"HEINRICH",11
"JALEN",11
"JAMISON",11
"JASRAJ",11
"JAYDON",11
"JÉRÉMIE",11
"JIMMY",11
"KARAM",11
"KING",11
"KOLE",11
"KORBIN",11
"KYMANI",11
"LYAM",11
"MAGNUS",11
"MARCOS",11
"MARLEY",11
"MATHÉO",11
"MAYSON",11
"OAKLEY",11
"OM",11
"PABLO",11
"REECE",11
"REESE",11
"REYANSH",11
"RISHAAN",11
"RISHI",11
"SACHIN",11
"SAIF",11
"SALEH",11
"SASHA",11
"SEHAJ",11
"TOM",11
"VAN",11
"ZACKERY",11
"AARUSH",10
"ABDULRAHMAN",10
"ABDURRAHMAN",10
"ALLAN",10
"BOSTON",10
"CADE",10
"CASSIUS",10
"COBY",10
"COLSON",10
"CONRAD",10
"DANILO",10
"DEANDRE",10
"DENZEL",10
"DWAYNE",10
"EDDY",10
"EDGAR",10
"ELIOT",10
"ÉMILE",10
"EMMET",10
"ENOCH",10
"ESHAN",10
"FARIS",10
"FIONN",10
"FOSTER",10
"FRASER",10
"GIULIANO",10
"GURFATEH",10
"HUMZA",10
